"","name","year","year_prod","cum","investmentMillNOK","lon","lat","recoverable_oil","remaining_oil","oil_price_nom","oil_price_real","oil_price_real_l1","oil_price_real_l2","oil_price_real_l3","oil_price_real_l4","oil_price_real_l5","oil_price_real_l6","oil_price_real_l7","oil_price_real_l8","diff_oil_price","pos_price_diff","neg_price_diff","diff_oil_price_3yr","pos_diff_3yr","neg_diff_3yr","deflator","bond_index","init_year","tot.prod","producing_from","producing_to","approved_at","shutdown","investmentMillNOK_real"
"52","ALVE",2011,0.31848,0.82097,369,7.8279060316489,65.9692400257618,1.9,0.8,111.264166666667,111.264166666667,79.4955336,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,31.7686330666667,31.7686330666667,1e-07,12.7646176363387,12.7646176363387,1e-06,1.03495856434,2219.45,2006,1.18061,2009-03-19,NA,2007-03-16,NA,356.536012855079
"50","ALVE",2012,0.24346,1.06443,0,7.8279060316489,65.9692400257618,1.9,0.8,111.651666666667,111.651666666667,111.264166666667,79.4955336,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,0.387500000000003,0.387500000000003,1e-07,48.9688226014057,48.9688226014057,1e-06,1.04525816148,2449.56,2006,1.18061,2009-03-19,NA,2007-03-16,NA,0
"51","ALVE",2013,0.11618,1.18061,0,7.8279060316489,65.9692400257618,1.9,0.8,108.6375,108.6375,111.651666666667,111.264166666667,79.4955336,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,-3.01416666666667,1e-07,3.01416666666667,29.1419664,29.1419664,1e-06,1.06095752096,2413.9,2006,1.18061,2009-03-19,NA,2007-03-16,NA,0
"64","ALVHEIM",2004,NA,NA,485,2.01022365575681,59.57465030336,37.2,17.5,38.265,44.17105791424,34.166890191161,30.330578469843,30.096765204413,36.083645010193,23.520307831673,17.010590699656,25.939272647352,28.724588314534,10.004167723079,10.004167723079,1e-07,14.074292709827,14.074292709827,1e-06,0.78327904719,1516.6,2004,22.91645,2008-06-08,NA,2004-10-06,NA,619.191847068971
"63","ALVHEIM",2005,NA,NA,3253,2.01022365575681,59.57465030336,37.2,17.5,54.5210895,60.873787465499,44.17105791424,34.166890191161,30.330578469843,30.096765204413,36.083645010193,23.520307831673,17.010590699656,25.939272647352,16.702729551259,16.702729551259,1e-07,30.543208995656,30.543208995656,1e-06,0.81315690914,1546.51,2004,22.91645,2008-06-08,NA,2004-10-06,NA,4000.45792323205
"56","ALVHEIM",2006,NA,NA,3840,2.01022365575681,59.57465030336,37.2,17.5,65.1440625,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,30.096765204413,36.083645010193,23.520307831673,17.010590699656,9.587788390156,9.587788390156,1e-07,36.294685664494,36.294685664494,1e-06,0.8528632903,1614.19,2004,22.91645,2008-06-08,NA,2004-10-06,NA,4502.48010868102
"58","ALVHEIM",2007,NA,NA,4339,2.01022365575681,59.57465030336,37.2,17.5,72.3890784,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,30.096765204413,36.083645010193,23.520307831673,5.668069269744,5.668069269744,1e-07,31.958587211159,31.958587211159,1e-06,0.90803283064,1689.14,2004,22.91645,2008-06-08,NA,2004-10-06,NA,4778.46158595586
"62","ALVHEIM",2008,2.29976,2.29976,2684,2.01022365575681,59.57465030336,37.2,17.5,97.2559728,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,30.096765204413,36.083645010193,22.369903904929,22.369903904929,1e-07,37.625761564829,37.625761564829,1e-06,0.95725840904,1573.98,2004,22.91645,2008-06-08,NA,2004-10-06,NA,2803.84060840133
"57","ALVHEIM",2009,4.97328,7.27304,433,2.01022365575681,59.57465030336,37.2,17.5,61.6712648,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,30.096765204413,-35.816704965067,1e-07,35.816704965067,-7.778731790394,1e-06,7.778731790394,0.98334873526,1885,2004,22.91645,2008-06-08,NA,2004-10-06,NA,440.332086139831
"55","ALVHEIM",2010,4.57048,11.84352,1320,2.01022365575681,59.57465030336,37.2,17.5,79.4955336,79.4955336,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,16.812689534739,16.812689534739,1e-07,3.36588847460101,3.36588847460101,1e-06,0.99972375346,2064.45,2004,22.91645,2008-06-08,NA,2004-10-06,NA,1320.36474619267
"59","ALVHEIM",2011,3.85634,15.69986,1354,2.01022365575681,59.57465030336,37.2,17.5,111.264166666667,111.264166666667,79.4955336,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,31.7686330666667,31.7686330666667,1e-07,12.7646176363387,12.7646176363387,1e-06,1.03495856434,2219.45,2004,22.91645,2008-06-08,NA,2004-10-06,NA,1308.26493605901
